administrative_unit,gadm_layer,land_area_km2,common_area_km2,common_share_percent
Jiangmen,ADM_ADM_2,8965.328396305833,2436.272275503839,27.17437853707295
Shenzhen,ADM_ADM_2,1759.1160822469305,0.0,0.0
Zhongshan,ADM_ADM_2,1645.6413150308495,520.688616586529,31.64046817679514
Yunfu,ADM_ADM_2,1318.19483414049,0.0,0.0
Zhuhai,ADM_ADM_2,1201.0129705446964,960.2699322431142,79.95500096952344
Yangjiang,ADM_ADM_2,1048.6193653761477,0.0,0.0
Foshan,ADM_ADM_2,571.8360583510643,0.0,0.0
Huizhou,ADM_ADM_2,227.22554970353582,0.0,0.0
Guangzhou,ADM_ADM_2,188.17998900792716,0.0,0.0
Dongguan,ADM_ADM_2,179.36280744503821,0.0,0.0
Islands,ADM_ADM_2,160.8366203754273,0.0,0.0
Tai Po,ADM_ADM_2,136.3998413019486,0.0,0.0
North,ADM_ADM_2,136.16862133062997,0.0,0.0
Yuen Long,ADM_ADM_2,136.16239953131162,0.0,0.0
Sai Kung,ADM_ADM_2,129.88103803261524,0.0,0.0
Tuen Mun,ADM_ADM_2,80.40990328016609,0.0,0.0
Sha Tin,ADM_ADM_2,63.24854312498179,0.0,0.0
Tsuen Wan,ADM_ADM_2,60.094157962111304,0.0,0.0
Southern,ADM_ADM_2,40.87283108083841,0.0,0.0
Kwai Tsing,ADM_ADM_2,18.829045750784942,0.0,0.0
Eastern,ADM_ADM_2,17.683719677501628,0.0,0.0
Central and Western,ADM_ADM_2,12.089312499763423,0.0,0.0
Kwun Tong,ADM_ADM_2,10.809452605947445,0.0,0.0
Wan Chai,ADM_ADM_2,9.728691396228921,0.0,0.0
Kowloon City,ADM_ADM_2,9.72494700489131,0.0,0.0
Wong Tai Sin,ADM_ADM_2,9.247009014913345,0.0,0.0
Ilhas,ADM_ADM_2,9.24409892072419,4.9686217396194365,53.749119110791504
Sham Shui Po,ADM_ADM_2,7.494696223916304,0.0,0.0
Macau,ADM_ADM_2,5.53160167387272,4.789907413307262,86.59169072009135
Yau Tsim Mong,ADM_ADM_2,5.018023118053254,0.0,0.0
Zhaoqing,ADM_ADM_2,3.722499641261523,0.0,0.0
