event_name_zh,NAME,scenario,year,max_observed_total_level_m_cd,future_total_level_egm2008_m,base_flood_area_km2,ols_flood_area_km2,added_by_ols_subsidence_area_km2,base_exposed_population,ols_exposed_population,added_exposed_population
山竹,MANGKHUT,SSP2-4.5,2050,3.77,3.4474789759999998,2743.0787743681954,2769.852278826984,26.773504458788533,1032457.7366749103,1053582.2798896416,21124.543236234982
山竹,MANGKHUT,SSP2-4.5,2100,3.77,3.824478976,2924.853475766851,2981.609967783451,56.756492016600475,1337156.4648090722,1384425.6651095022,47269.20034354657
山竹,MANGKHUT,SSP5-8.5,2050,3.77,3.476478976,2756.8416937864163,2783.0824570523655,26.240763265949195,1050336.1498685789,1071119.3699291984,20783.220099351554
山竹,MANGKHUT,SSP5-8.5,2100,3.77,4.041478976,3028.5283881908454,3077.1682921152333,48.63990392438761,1548250.6285957498,1589188.53957235,40937.910979909706
天鸽,HATO,SSP2-4.5,2050,3.67,3.3474789759999997,2693.9382924658626,2720.648131663734,26.70983919787151,960817.4745612175,981782.4869574158,20965.012405410864
天鸽,HATO,SSP2-4.5,2100,3.67,3.724478976,2877.735914588604,2934.140533861944,56.404619273339726,1247550.9038112725,1295021.2827819157,47470.37899162049
天鸽,HATO,SSP5-8.5,2050,3.67,3.3764789759999996,2707.3039058961417,2733.383307469395,26.07940157325269,980514.672933141,1000541.6697148724,20026.996805679268
天鸽,HATO,SSP5-8.5,2100,3.67,3.941478976,2981.7931343289965,3034.697487258818,52.90435292982138,1449008.8398269878,1493072.007437462,44063.16762804207
苏拉,SAOLA,SSP2-4.5,2050,3.04,2.7174789759999998,2319.839918932632,2371.430877926223,51.590958993591045,560486.8359073381,586542.1314312875,26055.29551447116
苏拉,SAOLA,SSP2-4.5,2100,3.04,3.094478976,2555.083602317673,2628.7728791779155,73.68927686024266,789782.4895431475,849260.2476141175,59477.75814522696
苏拉,SAOLA,SSP5-8.5,2050,3.04,2.7464789759999997,2339.6758443799154,2390.992101074794,51.31625669487846,576560.2840202234,602712.8394639732,26152.555417503132
苏拉,SAOLA,SSP5-8.5,2100,3.04,3.311478976,2677.1245631125557,2746.4186016184335,69.29403850587798,935183.9613688162,990743.0193400173,55559.05805988102
