year,months,mean_rlr_mm,mean_metric_chart_datum_mm,rlr_minus_metric_mm,rlr_std_monthly_mm,metric_std_monthly_mm
1998,12,6984.166666666667,1464.1666666666667,5520.0,139.50942186059976,139.50942186059976
1999,12,7015.833333333333,1495.8333333333333,5520.0,105.00721475934476,105.00721475934475
2000,11,7010.909090909091,1490.909090909091,5520.0,106.15597443898723,106.15597443898723
2001,12,7025.0,1505.0,5520.0,102.2030065382352,102.2030065382352
2002,12,6961.666666666667,1441.6666666666667,5520.0,70.43157005637501,70.43157005637501
2003,12,6926.666666666667,1406.6666666666667,5520.0,137.6645021474859,137.6645021474859
2005,12,6951.666666666667,1431.6666666666667,5520.0,114.56108599451396,114.56108599451396
2006,12,7009.166666666667,1489.1666666666667,5520.0,88.877682374387,88.877682374387
2007,12,6960.0,1440.0,5520.0,93.90517460812167,93.90517460812167
2008,12,6990.833333333333,1470.8333333333333,5520.0,83.49832152187071,83.49832152187071
2009,12,7000.833333333333,1480.8333333333333,5520.0,106.29789473099844,106.29789473099844
2010,12,6954.166666666667,1434.1666666666667,5520.0,98.02210635021741,98.02210635021741
2011,12,6979.166666666667,1459.1666666666667,5520.0,106.55415467633291,106.55415467633291
2012,12,7028.333333333333,1508.3333333333333,5520.0,90.4366511918032,90.4366511918032
2013,12,7006.666666666667,1486.6666666666667,5520.0,95.56847457887633,95.56847457887633
2014,12,6943.333333333333,1423.3333333333333,5520.0,119.49388218142332,119.49388218142332
2015,10,6958.0,1438.0,5520.0,91.74844836714013,91.74844836714013
2016,12,7012.5,1492.5,5520.0,130.46246412456935,130.46246412456935
2017,12,7019.166666666667,1499.1666666666667,5520.0,118.58700935548879,118.58700935548879
2018,12,6976.666666666667,1456.6666666666667,5520.0,103.42615576811166,103.42615576811166
2019,12,6993.333333333333,1473.3333333333333,5520.0,87.21273190343602,87.21273190343602
2020,12,7000.0,1480.0,5520.0,154.8606411643003,154.8606411643003
2021,12,6965.833333333333,1445.8333333333333,5520.0,101.66418278138107,101.66418278138107
2022,12,7001.666666666667,1481.6666666666667,5520.0,103.73334112331513,103.73334112331513
2023,12,6946.666666666667,1426.6666666666667,5520.0,88.45474788976804,88.45474788976804
2024,12,6982.5,1462.5,5520.0,134.7809670944273,134.7809670944273
2025,12,6985.833333333333,1465.8333333333333,5520.0,106.12671100094823,106.12671100094823
