scenario,year,added_water_m,neighbours,baseline_area_km2,continued_trend_area_km2,subsidence_added_area_km2
SSP2-4.5,2050,0.0,4,345.9226161071293,470.54130443991716,124.61868833278788
SSP2-4.5,2050,1.5,4,832.7132652399694,885.2340043236604,52.520739083691
SSP2-4.5,2050,3.0,4,1077.5234593767605,1092.8840039226884,15.360544545928075
SSP2-4.5,2100,0.0,4,460.1233038095733,720.427231920386,260.3039281108129
SSP2-4.5,2100,1.5,4,913.1957911154259,989.4337105764423,76.23791946101622
SSP2-4.5,2100,3.0,4,1127.5703382437223,1170.6670571278187,43.09671888409624
SSP5-8.5,2050,0.0,4,353.72391422701037,477.864326187998,124.14041196098765
SSP5-8.5,2050,1.5,4,838.332683083976,890.3003646277782,51.96768154380222
SSP5-8.5,2050,3.0,4,1081.0123677822148,1096.0817619176635,15.069394135448519
SSP5-8.5,2100,0.0,4,555.0249127564344,782.3152255640941,227.29031280765963
SSP5-8.5,2100,1.5,4,951.5605267190906,1015.4645403976971,63.904013678606475
SSP5-8.5,2100,3.0,4,1157.4342471887844,1195.1515898891412,37.717342700356554
SSP2-4.5,2050,0.0,8,369.82515596294854,499.91692596425605,130.09177000130745
SSP2-4.5,2050,1.5,8,843.2953677656819,895.7423155176998,52.44694775201782
SSP2-4.5,2050,3.0,8,1103.265276090333,1121.31826129748,18.05298520714713
SSP2-4.5,2100,0.0,8,482.84616171171615,751.1795104364871,268.33334872477116
SSP2-4.5,2100,1.5,8,924.6175370930866,1002.3203872481819,77.7028501550952
SSP2-4.5,2100,3.0,8,1150.4114748268844,1193.661398492307,43.249923665422514
SSP5-8.5,2050,0.0,8,378.73580209261775,513.0512326824551,134.31543058983726
SSP5-8.5,2050,1.5,8,849.0512091043813,900.5971923291366,51.54598322475553
SSP5-8.5,2050,3.0,8,1106.7700244026282,1124.8295997989226,18.059575396294314
SSP5-8.5,2100,0.0,8,574.3511911693956,795.2095415732177,220.8583504038222
SSP5-8.5,2100,1.5,8,967.0117175258881,1036.1833854057436,69.17166787985529
SSP5-8.5,2100,3.0,8,1179.189092485069,1221.2161440067734,42.02705152170424
