scenario,year,added_water_m,water_level_egm2008_m,persistence,common_domain_area_km2,baseline_connected_area_km2,subsidence_adjusted_area_km2,subsidence_added_area_km2,baseline_population,subsidence_adjusted_population,subsidence_added_population
SSP2-4.5,2050,0.0,1.138469235,stabilisation,3942.0969440548497,369.82515596294854,369.82515596294854,0.0,218476.6330870065,218476.6330870065,0.0
SSP2-4.5,2050,0.0,1.138469235,decaying_trend,3942.0969440548497,369.82515596294854,474.5342615457289,104.70910558278028,218476.6330870065,265504.1599756104,47027.52688860387
SSP2-4.5,2050,0.0,1.138469235,continued_trend,3942.0969440548497,369.82515596294854,499.91692596425605,130.09177000130745,218476.6330870065,276419.2350201909,57942.60193318437
SSP2-4.5,2050,1.5,2.638469235,stabilisation,3942.0969440548497,843.2953677656819,843.2953677656819,0.0,562403.4512157533,562403.4512157533,0.0
SSP2-4.5,2050,1.5,2.638469235,decaying_trend,3942.0969440548497,843.2953677656819,888.723459321776,45.4280915560941,562403.4512157533,587642.2352597392,25238.784043985885
SSP2-4.5,2050,1.5,2.638469235,continued_trend,3942.0969440548497,843.2953677656819,895.7423155176998,52.44694775201782,562403.4512157533,592107.1305951362,29703.67937938287
SSP2-4.5,2050,3.0,4.1384692350000005,stabilisation,3942.0969440548497,1103.265276090333,1103.265276090333,0.0,822930.7553167635,822930.7553167635,0.0
SSP2-4.5,2050,3.0,4.1384692350000005,decaying_trend,3942.0969440548497,1103.265276090333,1118.7077002629972,15.442424172664369,822930.7553167635,831590.8667635715,8660.111446807976
SSP2-4.5,2050,3.0,4.1384692350000005,continued_trend,3942.0969440548497,1103.265276090333,1121.31826129748,18.05298520714713,822930.7553167635,833275.375851095,10344.620534331421
SSP2-4.5,2100,0.0,1.515469235,stabilisation,3942.0969440548497,482.84616171171615,482.84616171171615,0.0,184762.89127299434,184762.89127299434,0.0
SSP2-4.5,2100,0.0,1.515469235,decaying_trend,3942.0969440548497,482.84616171171615,650.1081118258819,167.26195011416576,184762.89127299434,246680.71155768094,61917.820284686604
SSP2-4.5,2100,0.0,1.515469235,continued_trend,3942.0969440548497,482.84616171171615,751.1795104364871,268.33334872477116,184762.89127299434,280005.263416254,95242.37214325968
SSP2-4.5,2100,1.5,3.0154692350000003,stabilisation,3942.0969440548497,924.6175370930866,924.6175370930866,0.0,396575.6840455212,396575.6840455212,0.0
SSP2-4.5,2100,1.5,3.0154692350000003,decaying_trend,3942.0969440548497,924.6175370930866,971.3945373396709,46.777000246584166,396575.6840455212,415557.489214025,18981.80516850378
SSP2-4.5,2100,1.5,3.0154692350000003,continued_trend,3942.0969440548497,924.6175370930866,1002.3203872481819,77.7028501550952,396575.6840455212,427505.3596362982,30929.675590777013
SSP2-4.5,2100,3.0,4.515469235,stabilisation,3942.0969440548497,1150.4114748268844,1150.4114748268844,0.0,549863.8723063313,549863.8723063313,0.0
SSP2-4.5,2100,3.0,4.515469235,decaying_trend,3942.0969440548497,1150.4114748268844,1173.7335682151272,23.32209338824318,549863.8723063313,557286.3505154921,7422.47820916085
SSP2-4.5,2100,3.0,4.515469235,continued_trend,3942.0969440548497,1150.4114748268844,1193.661398492307,43.249923665422514,549863.8723063313,563324.9846409096,13461.112334578298
SSP5-8.5,2050,0.0,1.167469235,stabilisation,3942.0969440548497,378.73580209261775,378.73580209261775,0.0,217410.03691403577,217410.03691403577,0.0
SSP5-8.5,2050,0.0,1.167469235,decaying_trend,3942.0969440548497,378.73580209261775,485.29247040067696,106.55666830805922,217410.03691403577,263668.9396901205,46258.90277608475
SSP5-8.5,2050,0.0,1.167469235,continued_trend,3942.0969440548497,378.73580209261775,513.0512326824551,134.31543058983726,217410.03691403577,275887.8762064397,58477.83929240392
SSP5-8.5,2050,1.5,2.667469235,stabilisation,3942.0969440548497,849.0512091043813,849.0512091043813,0.0,549566.1901443964,549566.1901443964,0.0
SSP5-8.5,2050,1.5,2.667469235,decaying_trend,3942.0969440548497,849.0512091043813,894.2144618976712,45.163252793289914,549566.1901443964,574243.596737109,24677.40659271262
SSP5-8.5,2050,1.5,2.667469235,continued_trend,3942.0969440548497,849.0512091043813,900.5971923291366,51.54598322475553,549566.1901443964,578036.8656328918,28470.675488495384
SSP5-8.5,2050,3.0,4.167469235,stabilisation,3942.0969440548497,1106.7700244026282,1106.7700244026282,0.0,800371.8121156807,800371.8121156807,0.0
SSP5-8.5,2050,3.0,4.167469235,decaying_trend,3942.0969440548497,1106.7700244026282,1121.9289891716671,15.15896476903886,800371.8121156807,808818.3690656959,8446.556950015249
SSP5-8.5,2050,3.0,4.167469235,continued_trend,3942.0969440548497,1106.7700244026282,1124.8295997989226,18.059575396294314,800371.8121156807,810374.9867002234,10003.17458454275
SSP5-8.5,2100,0.0,1.732469235,stabilisation,3942.0969440548497,574.3511911693956,574.3511911693956,0.0,187751.14986978084,187751.14986978084,0.0
